RequestId,RequestCategory,Location,RequestType,PriorityLevel,LeadVolunteerNeeded,ForSelfOrOthers,IsCalamity,Subject,Description,LanguagePreferred,RequestorId,Status,Duration,AssignedVolunteer,REQ_ID
a0c91bf1-9dd5-4f31-8ef7-7fd6d8d4390c,Housing,"3612 Carter Camp Apt. 207, West Eddieborough, PW 23805",Remote,Medium,Yes,Self,Yes,Help with minor home repairs,Family needs help fixing plumbing and electrical issues.,Hindi,e22bb5ec-4579-457c-9a6b-934e305f218b,Completed,9,,
8076373f-8a07-47e1-afae-ba4266507dfd,Education and Career Support,"21597 Barber Drive Suite 668, Justinmouth, WV 18553",Remote,Medium,No,Others,Yes,Mentor required for college application,Looking for a mentor to guide a student with college applications.,Tamil,0125f2d3-dd2f-433e-8348-ce3862d2b930,Open,10,,
1b1d4174-1491-4414-bb04-df0ff234f42c,Healthcare and Wellbeing,"2946 Novak Parkways, North Jonathanside, CA 36514",Remote,Medium,No,Others,Yes,Medical appointment assistance,Request for someone to assist with basic wound dressing.,Bengali,3f07b8ec-8c2a-43c5-8e14-218e2aab27d7,Open,21,,
1bc7ba51-df39-4ba3-9ef4-3d3c9efd10b8,Food and Essentials,"810 Jacob Rapids, New Robertstad, KY 56429",InPerson,High,Yes,Self,No,Support with distributing food kits,Essential food supplies needed for a financially distressed family.,Telugu,0c4b46dd-6527-4c86-b2a7-6739b4fee3d5,Assigned,4,,
08742e14-0a4d-4248-b27b-bc8bf68356a4,Food and Essentials,"2045 Daniel Extensions, Port Jason, MH 19695",InPerson,Low,Yes,Self,No,Support with distributing food kits,Essential food supplies needed for a financially distressed family.,Telugu,5fbba330-a670-4988-b057-fc7d6a75e6c7,Open,14,,
507d5e5e-b08f-4d54-9e53-c1ec6c4470a5,Healthcare and Wellbeing,"39837 Darlene Land, Johnsonbury, NH 40768",Remote,High,No,Self,No,Medical appointment assistance,Individual needs help performing daily physiotherapy exercises.,Spanish,1cc31ab3-b479-4255-99ea-e87eb5316c68,Completed,25,,
20f01356-60fa-4b62-a832-77f1f516e732,Elderly Support,"USNV Orr, FPO AP 36371",InPerson,Medium,Yes,Self,No,Assistance needed for grocery shopping,An elderly resident needs weekly help with groceries.,Bengali,29a4a4a6-1f47-4a4c-b79e-2442ac25bfda,Completed,20,,
b0b41453-c31c-4cc5-a198-f304295506e9,Housing,"046 Elizabeth Inlet, North Jason, NJ 74935",Remote,Medium,Yes,Others,Yes,Support needed for shifting,Volunteers needed for packing and moving household items.,Spanish,8c0f1f61-1d42-4f1d-831f-cf452b96c23b,Assigned,24,,
c663a23e-de5c-4693-8716-78a61773e1e0,Healthcare and Wellbeing,"7743 Robert Oval, Jenningsport, VA 93588",Remote,Medium,No,Self,Yes,Support needed for physiotherapy exercises,Request for someone to assist with basic wound dressing.,Hindi,4b5709f2-f553-43b3-a966-fb902d9089f6,Assigned,19,,
bef7f3df-b09b-4e4c-a9a1-71470f4dab98,Clothing Support,"61847 Brown Ridge Apt. 186, East Alice, CA 53674",InPerson,Medium,Yes,Others,Yes,Help required for donated clothes sorting,Looking for volunteers to sort and distribute donated clothes at the community center.,Tamil,c62f4759-ba53-44dd-82bb-bd7d65903983,Completed,30,,
