VolunteerId,VolunteerName,ContactInformation,Location,Skills,LanguagesSpoken,PreferredServiceAreas,Rating,Status,TransportationAvailability,WillingnessToTravel,VOL_ID
dddff12d-d63b-412c-a376-3810f447f58a,Brandon Leon,235.414.6028x6220,"64502 Mercado Ferry, South Rebecca, WY 02000",Child Care,"English, Telugu, Tamil",East Abigail,3.3,Unavailable,Yes,Low,
05de0dfe-cecf-459f-9f10-ae90dd47bab9,David Olson,(879)770-7717x430,"48027 Tammy Camp Suite 122, Port Tonyborough, CT 64529","Driving, Logistics, Teaching, Counseling",English,New Stephenside,4.8,Unavailable,No,Moderate,
cf19dae1-afee-4447-9964-c0e920b1e2e6,Jennifer Spencer,6116387131,"9265 John Isle Suite 850, Robinsonchester, VA 03940","Cooking, Counseling","English, Telugu, Hindi",Lake Timothyview,4.5,Active,Yes,High,
c113f5ef-af09-4a79-8109-50d35f01707c,Matthew Edwards,501-395-4550x641,"2134 Murphy Lock, Deborahside, WI 61279","Elderly Care, Child Care, Logistics, Driving",Tamil,Willieland,3.4,Unavailable,No,Low,
85e6eae9-8d0f-411f-b823-7a0faa7c1762,Matthew Crawford,969-271-9486x66751,"2327 Robert Mountains Suite 290, West Stephanie, MN 33160","Teaching, Elderly Care, Cooking",Spanish,South Gabrielville,4.0,Unavailable,No,High,
8efa9885-60c2-4caf-893e-f8d47eda3ad1,Raven Reeves,2688291529,"543 Robert Coves, Port Lori, VI 77784","Counseling, Teaching, Medical Aid","Telugu, Spanish",Hernandezland,3.9,OnBreak,Yes,Moderate,
3297d1a2-64f5-459b-81b9-db2e1701e989,Gregory Wilson,560.885.1892x888,"5680 Smith Square Suite 202, East Jayburgh, LA 95170","Teaching, Medical Aid","Bengali, Telugu, English",Nicoleport,3.8,OnBreak,No,High,
9339def1-7819-4bf7-9daa-00f87dcea926,Stephanie Todd,339-609-8848,"396 Gonzalez Parks Suite 458, North Karenland, VI 65154","Medical Aid, Child Care",English,Port Theresa,3.9,Unavailable,No,Moderate,
89703987-10d6-490f-b954-ae2ac57a8005,Craig Nicholson,293.349.2586x554,"5126 Moss Mall, East Taylor, TX 30583","Counseling, Medical Aid, Logistics, Teaching","English, Tamil, Telugu",Butlerhaven,4.6,Active,Yes,Moderate,
e3bb402d-998f-4447-9a6f-27689f107b24,Jordan Johns,911-562-4397x51866,"766 Rivas Forges, Lake Gary, ME 99684","Child Care, Counseling, Driving","Tamil, English",Lake Paulland,3.7,Active,Yes,Moderate,
db112e35-f9a1-4c28-a152-6cd6579a312b,Christopher Bolton,001-784-624-3813x7865,"539 Jennifer Shores Suite 877, East Cynthiachester, OH 01874",Counseling,"Hindi, Tamil",North Sandraberg,3.4,OnBreak,No,High,
2fcc1b71-bff7-4066-bccc-bc5cc19938c7,Brandy Chambers,(336)937-8324x485,"6574 Mark Squares, West Jonathan, NC 17416","Logistics, Medical Aid, Elderly Care, Cooking","English, Hindi",East Candice,4.4,Active,Yes,Moderate,
92add7fa-bb89-428c-bc8e-6dc59b3596be,Kenneth Ochoa,231-311-8718,"9160 Montgomery Estate Suite 479, Wigginsstad, MO 19993","First Aid, Teaching","English, Telugu",Karenville,3.2,Active,Yes,Low,
